G1,G2,G3,studytime,failures,absences,traveltime,freetime,avg_score,performance
5,6,6,2,0,6,2,3,5.666666666666667,Low
5,5,6,2,0,4,1,3,5.333333333333333,Low
7,8,10,2,3,10,1,3,8.333333333333334,Medium
15,14,15,3,0,2,1,2,14.666666666666666,High
6,10,10,2,0,4,1,3,8.666666666666666,Medium
15,15,15,2,0,10,1,4,15.0,High
12,12,11,2,0,0,1,4,11.666666666666666,Medium
6,5,6,2,0,6,2,1,5.666666666666667,Low
16,18,19,2,0,0,1,2,17.666666666666668,High
14,15,15,2,0,0,1,5,14.666666666666666,High
10,8,9,2,0,0,1,3,9.0,Medium
10,12,12,3,0,4,3,2,11.333333333333334,Medium
14,14,14,1,0,2,1,3,14.0,High
10,10,11,2,0,2,2,4,10.333333333333334,Medium
14,16,16,3,0,0,1,5,15.333333333333334,High
14,14,14,1,0,4,1,4,14.0,High
13,14,14,3,0,6,1,2,13.666666666666666,High
8,10,10,2,0,4,3,3,9.333333333333334,Medium
6,5,5,1,3,16,1,5,5.333333333333333,Low
8,10,10,1,0,4,1,1,9.333333333333334,Medium
13,14,15,2,0,0,1,4,14.0,High
12,15,15,1,0,0,1,4,14.0,High
15,15,16,2,0,2,1,5,15.333333333333334,High
13,13,12,2,0,0,2,4,12.666666666666666,Medium
10,9,8,3,0,2,1,3,9.0,Medium
6,9,8,1,2,14,1,2,7.666666666666667,Medium
12,12,11,1,0,2,1,2,11.666666666666666,Medium
15,16,15,1,0,4,1,2,15.333333333333334,High
11,11,11,2,0,4,1,3,11.0,Medium
10,12,11,2,0,16,1,4,11.0,Medium
9,11,12,2,0,0,1,4,10.666666666666666,Medium
17,16,17,2,0,0,2,3,16.666666666666668,High
17,16,16,2,0,0,1,5,16.333333333333332,High
8,10,12,2,0,0,1,3,10.0,Medium
12,14,15,1,0,0,1,4,13.666666666666666,High
8,7,6,1,0,0,2,5,7.0,Medium
15,16,18,3,0,2,1,4,16.333333333333332,High
15,16,15,3,0,7,2,4,15.333333333333334,High
12,12,11,3,0,2,1,3,11.666666666666666,Medium
14,13,13,1,0,8,1,3,13.333333333333334,High
7,10,11,2,1,25,2,3,9.333333333333334,Medium
12,12,12,1,0,8,1,4,12.0,Medium
19,18,18,2,0,2,1,3,18.333333333333332,High
8,8,11,1,0,0,1,4,9.0,Medium
10,10,9,2,1,14,2,3,9.666666666666666,Medium
8,8,6,2,0,8,1,2,7.333333333333333,Medium
11,12,11,2,0,12,1,3,11.333333333333334,Medium
19,19,20,4,0,4,1,2,19.333333333333332,High
15,15,14,2,0,2,1,3,14.666666666666666,High
7,7,7,2,1,2,1,4,7.0,Medium
12,13,13,2,0,2,3,3,12.666666666666666,Medium
11,13,13,2,0,2,1,3,12.333333333333334,Medium
11,11,10,1,1,6,2,5,10.666666666666666,Medium
8,10,11,1,0,0,1,3,9.666666666666666,Medium
10,13,13,1,0,6,1,3,12.0,Medium
8,9,10,2,0,8,1,3,9.0,Medium
14,15,15,2,0,0,1,3,14.666666666666666,High
14,15,15,2,0,4,1,2,14.666666666666666,High
9,10,9,2,0,2,1,3,9.333333333333334,Medium
15,16,16,2,0,2,1,2,15.666666666666666,High
10,11,11,2,0,6,1,4,10.666666666666666,Medium
10,8,11,1,0,6,4,5,9.666666666666666,Medium
8,10,9,2,0,4,1,4,9.0,Medium
10,9,9,3,0,2,1,4,9.333333333333334,Medium
10,10,10,2,0,0,1,4,10.0,Medium
16,15,15,2,0,2,3,4,15.333333333333334,High
13,13,12,4,0,4,1,3,12.666666666666666,Medium
7,7,6,4,0,4,1,3,6.666666666666667,Low
8,9,8,2,0,2,2,1,8.333333333333334,Medium
16,16,16,4,0,12,2,4,16.0,High
13,15,15,4,0,0,2,3,14.333333333333334,High
