G1,G2,G3,studytime,failures,absences,traveltime,freetime
5,6,6,2,0,6,2,3
5,5,6,2,0,4,1,3
7,8,10,2,3,10,1,3
15,14,15,3,0,2,1,2
6,10,10,2,0,4,1,3
15,15,15,2,0,10,1,4
12,12,11,2,0,0,1,4
6,5,6,2,0,6,2,1
16,18,19,2,0,0,1,2
14,15,15,2,0,0,1,5
10,8,9,2,0,0,1,3
10,12,12,3,0,4,3,2
14,14,14,1,0,2,1,3
10,10,11,2,0,2,2,4
14,16,16,3,0,0,1,5
14,14,14,1,0,4,1,4
13,14,14,3,0,6,1,2
8,10,10,2,0,4,3,3
6,5,5,1,3,16,1,5
8,10,10,1,0,4,1,1
13,14,15,2,0,0,1,4
12,15,15,1,0,0,1,4
15,15,16,2,0,2,1,5
13,13,12,2,0,0,2,4
10,9,8,3,0,2,1,3
6,9,8,1,2,14,1,2
12,12,11,1,0,2,1,2
15,16,15,1,0,4,1,2
11,11,11,2,0,4,1,3
10,12,11,2,0,16,1,4
9,11,12,2,0,0,1,4
17,16,17,2,0,0,2,3
17,16,16,2,0,0,1,5
8,10,12,2,0,0,1,3
12,14,15,1,0,0,1,4
8,7,6,1,0,0,2,5
15,16,18,3,0,2,1,4
15,16,15,3,0,7,2,4
12,12,11,3,0,2,1,3
14,13,13,1,0,8,1,3
7,10,11,2,1,25,2,3
12,12,12,1,0,8,1,4
19,18,18,2,0,2,1,3
8,8,11,1,0,0,1,4
10,10,9,2,1,14,2,3
8,8,6,2,0,8,1,2
11,12,11,2,0,12,1,3
19,19,20,4,0,4,1,2
15,15,14,2,0,2,1,3
7,7,7,2,1,2,1,4
12,13,13,2,0,2,3,3
11,13,13,2,0,2,1,3
11,11,10,1,1,6,2,5
8,10,11,1,0,0,1,3
10,13,13,1,0,6,1,3
8,9,10,2,0,8,1,3
14,15,15,2,0,0,1,3
14,15,15,2,0,4,1,2
9,10,9,2,0,2,1,3
15,16,16,2,0,2,1,2
10,11,11,2,0,6,1,4
10,8,11,1,0,6,4,5
8,10,9,2,0,4,1,4
10,9,9,3,0,2,1,4
10,10,10,2,0,0,1,4
16,15,15,2,0,2,3,4
13,13,12,4,0,4,1,3
7,7,6,4,0,4,1,3
8,9,8,2,0,2,2,1
16,16,16,4,0,12,2,4
13,15,15,4,0,0,2,3
10,10,10,4,0,0,1,3
8,6,5,2,2,2,1,3
12,12,14,1,0,2,1,3
11,12,11,2,0,54,1,3
9,9,10,2,0,6,1,3
11,11,10,4,0,8,2,4
11,11,11,4,0,0,1,2
8,8,10,1,3,2,2,5
5,5,5,2,0,12,1,4
10,12,12,1,0,2,1,2
11,10,11,3,0,4,1,3
7,6,6,2,0,10,1,4
15,15,15,2,0,4,2,3
9,10,10,2,0,2,1,3
7,9,8,2,2,6,2,4
8,7,6,2,0,4,1,3
13,14,14,3,0,4,1,3
11,10,10,2,1,12,2,4
8,6,7,2,0,18,1,1
7,7,8,3,0,0,1,3
16,17,18,1,0,4,1,5
7,6,6,2,0,4,1,3
11,10,10,2,0,0,2,3
11,13,14,4,0,6,1,3
7,10,10,4,1,2,2,1
11,15,15,1,0,2,2,3
8,9,10,2,0,2,1,3
11,14,14,1,0,6,1,3
7,9,8,3,0,0,1,3
7,7,5,1,0,14,1,5
16,17,17,3,0,0,1,4
10,13,14,1,0,4,1,3
7,6,6,2,0,26,2,3
16,18,18,2,0,0,1,4
10,11,11,4,0,10,1,3
7,8,8,4,0,8,1,1
16,18,18,3,0,2,1,3
10,13,13,4,0,6,4,3
14,15,16,3,0,4,1,4
18,19,19,1,0,6,1,5
7,10,10,3,1,0,1,1
10,13,13,2,1,6,1,1
18,19,19,1,0,10,1,5
9,9,9,2,0,8,1,4
15,15,16,2,0,2,1,4
11,13,14,2,0,2,2,4
13,14,13,1,0,0,2,4
9,7,8,2,1,20,3,2
14,13,13,1,0,6,1,4
16,15,15,2,0,2,1,2
16,14,15,4,0,6,1,5
13,13,13,2,0,2,2,2
14,11,13,1,0,18,1,4
8,7,8,2,0,0,1,4
13,13,12,1,0,0,1,5
7,10,11,2,0,0,1,3
7,8,9,2,3,2,1,4
7,4,0,1,2,0,1,3
18,18,18,1,0,8,1,5
12,0,0,3,2,0,2,2
8,0,0,1,0,0,3,3
10,13,12,1,0,12,1,4
12,11,11,1,0,16,1,2
9,0,0,2,0,0,4,3
11,0,0,3,0,0,1,3
10,0,0,2,0,0,3,4
4,0,0,1,2,0,2,3
14,12,12,2,1,0,1,4
16,16,15,1,0,0,2,3
7,9,0,4,0,0,2,2
9,9,9,1,2,8,2,3
9,11,11,3,0,2,1,2
14,14,13,1,0,2,1,4
5,0,0,1,3,0,1,4
8,11,11,2,0,0,1,4
6,7,0,2,3,0,1,3
10,11,11,2,0,2,1,3
7,6,0,1,0,0,1,3
8,9,10,1,3,0,4,5
6,5,0,1,3,0,1,3
12,13,14,1,1,6,1,4
10,10,10,3,2,8,2,2
5,0,0,1,3,0,1,5
11,11,12,1,0,0,1,2
11,8,8,2,0,2,1,4
16,12,13,1,0,8,1,2
9,8,10,1,3,6,3,2
17,15,15,1,0,2,3,2
10,12,12,2,1,4,1,5
7,6,0,1,2,0,2,3
5,9,7,2,2,6,2,4
7,0,0,1,1,0,2,4
10,10,10,1,0,2,1,3
5,8,7,2,3,0,4,3
12,11,12,1,1,16,2,5
10,10,10,2,0,4,1,3
14,15,16,2,0,0,1,2
6,7,0,2,0,0,1,1
14,14,14,2,0,0,1,4
6,5,0,1,2,0,3,4
13,15,16,2,0,2,2,3
13,11,10,2,0,0,1,4
8,7,0,2,3,0,1,3
10,11,9,2,0,4,2,4
10,9,9,2,0,4,2,4
13,13,11,2,0,2,2,4
6,5,6,2,0,4,1,3
10,8,9,1,0,10,1,3
10,10,11,2,0,4,1,2
9,8,8,2,0,10,1,4
12,13,12,2,0,2,1,2
16,17,17,2,0,0,1,4
9,9,8,2,0,56,1,3
12,13,12,2,0,14,1,2
12,12,11,2,0,12,1,3
11,12,11,1,0,2,1,3
15,15,15,2,0,0,1,2
8,7,9,2,0,6,1,3
8,9,10,2,0,4,1,1
11,12,13,2,0,10,1,3
8,8,9,2,0,0,1,3
7,8,8,2,0,12,2,4
8,9,10,1,0,8,1,3
13,14,14,1,0,0,2,3
14,15,15,2,0,0,1,3
17,15,16,1,0,4,1,2
9,9,10,1,0,8,3,3
18,18,18,1,1,24,2,2
9,9,10,2,0,0,1,5
16,16,16,2,0,2,1,3
8,10,10,2,0,6,1,4
9,9,10,2,0,4,1,4
7,6,6,1,0,18,1,3
10,10,11,4,0,6,2,3
10,9,9,3,1,28,1,4
7,7,7,2,3,5,1,3
11,12,13,2,0,10,1,3
9,9,10,1,0,6,2,3
7,7,7,3,0,6,2,4
8,8,8,4,0,10,1,3
12,12,13,2,0,13,1,3
12,13,14,2,0,0,1,3
6,7,8,2,1,15,1,4
8,10,10,1,0,12,1,2
14,15,15,2,0,2,2,4
